topics,Apr,closed_Aprl,Mai,closed_Mai,Jun,closed_June,Start,End,priority
IT-Sec Maßnahme 8,0,0,0,0,0,0,,,1
IT-Sec Maßnahme 10,0,0,1,1,0,0,2024-05-01,2024-05-31,1
IT-Sec Maßnahme 11,0,0,0,0,1,0,,,1
IT-Sec Abschaltung Expressway - Vorgehen und Abstimmung letzte Cisco Anschlüsse,1,0,1,0,1,0,2024-04-01,2024-06-30,1
Überkipper: Pilotdurchführung WLAN-Telefonie,2,0,2,0,2,0,2024-03-01,2024-06-01,1
Überkipper: Etablierung der technischen und organisatorischen Vorbereitungen für den Go Live,2,0,1,0,2,0,2024-03-01,2024-06-02,1
Einführung Telefonie im Markt,0,0,0,0,0,0,,,
Überkipper: NEO - 2-3 Teams Rooms für Österreich,2,0,1,1,0,0,2024-04-01,2024-05-31,1
Projekt Neo langfristige Strategie und Roadmap Communication Meetings,2,0,1,0,2,0,2024-04-01,2024-06-30,1
EHA - Konzeption Telefonie + Rollout,1,0,1,0,2,0,2024-04-01,2024-06-30,1
Blueprint Anbindung neuer Gesellschaften (kein RMD nur EPIC),0,0,0,0,0,0,,,1
Vorbereitung - REWE digital Harmonisierung der In- und Auslandsstandorte,0,0,0,0,0,0,,,1
Hardware Vertragsabschluss,1,0,1,1,0,0,2024-04-01,2024-05-31,1
Optimierung Tagesgeschäft hybride Meetings,3,0,2,0,2,0,2024-04-01,2024-06-30,3
Konzeption DER Tour A-D und Umsetzung hybride Meetings Malaga,1,0,2,0,1,0,2024-04-01,2024-06-30,3
Umsetzung Club 76 Präsentationstechnik,1,0,1,1,0,0,2024-04-01,2024-05-31,3
Lifecycle hybride Meetingräume mit 3 rollierenden Testräumen,0,0,0,0,0,0,,,3
Meetings und Townhalls (Liveevents) in der REWE,0,0,1,1,0,0,2024-05-01,2024-05-31,3
IT-ServiceDesk Hypercarephase,2,0,1,1,0,0,2024-04-01,2024-05-31,3
Polly Self Service für die Kundenhotline,1,1,0,0,0,0,2024-04-01,2024-04-30,3
Osila Ablösung - Workshop und Entscheidung,2,0,1,0,3,0,2024-04-01,2024-06-30,3
Rollout Teams Phone Glockenbrot Frankfurt,0,0,1,0,2,0,2024-05-01,2024-06-30,3
Überkipper: 22 Sammelanschlüsse in Regionen,1,0,1,0,2,0,2024-04-01,2024-06-30,3
Rufbereitschaft 50 weitere Umstellungen,2,0,2,0,1,0,2024-04-01,2024-06-30,3
Agent One 10 Hotlines Timeline - Bauabteilung / Logistik,1,0,2,0,2,0,2024-04-01,2024-06-30,3
IVR Menü und Analyse Vermittlungsarbeitsplatz,1,0,1,0,1,0,2024-04-01,2024-06-30,3
Teams Premium Entscheidung und Zielgruppen,1,0,1,1,0,0,2024-04-01,2024-05-31,3
Überkipper: Verlängerung APK Workaround,0,0,1,0,1,0,2024-05-01,2024-06-30,3
Aktualisierung APK Workaround,0,0,1,1,0,0,2024-05-01,2024-05-31,3
Spitzensupport,1,0,2,0,1,0,2024-04-01,2024-06-30,3
Produktoptimierung CM,1,0,1,0,2,0,2024-04-01,2024-06-30,3
"Betriebsoptimierung (SIP Ostertag, Kostenoptimierung Unify ohne SW A. Poly Lens)",2,0,1,0,3,0,2024-04-01,2024-06-30,3
technische Schulden,0,0,0,0,0,0,,,3
Dokumentation (technische Dokumentation / Vertragsmanagement),0,0,0,0,0,0,,,3
Konsolidierung Portfolio / Rollouts,1,0,1,0,1,0,2024-04-01,2024-06-30,3
Standortneueröffnungen Telefonie (kein RMD),1,0,1,0,1,0,2024-04-01,2024-06-30,3
Sonstiges (produktfremd) - Placeholder Überfälle,0,0,0,0,0,0,,,3
